City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Quatre Cocos,MU,2022-04-15 18:09:45,-20.2078,57.7625,23.38,80,42,8.78,light rain
81,Comodoro Rivadavia,AR,2022-04-15 18:09:46,-45.8667,-67.5,20.92,35,0,10.29,clear sky
82,Dwarka,IN,2022-04-15 18:09:46,22.2394,68.9678,26.81,81,1,6.29,clear sky
83,Tura,IN,2022-04-15 18:09:46,25.5198,90.2201,24.09,91,2,5.3,clear sky
84,San Andres,CO,2022-04-15 18:09:47,12.5847,-81.7006,30.01,66,20,6.69,few clouds
85,Kodiak,US,2022-04-15 18:09:47,57.79,-152.4072,3.73,87,100,3.6,moderate rain
86,Acapulco,MX,2022-04-15 18:09:48,16.8634,-99.8901,28.9,74,75,5.14,broken clouds
87,Yellowknife,CA,2022-04-15 18:09:48,62.456,-114.3525,-8.02,48,100,4.47,overcast clouds
88,Ambanja,MG,2022-04-15 18:09:48,-13.6833,48.45,25.48,90,55,0.93,broken clouds
89,Waipawa,NZ,2022-04-15 18:09:48,-41.4122,175.5153,11.82,82,8,6.8,clear sky
90,Beringovskiy,RU,2022-04-15 18:09:49,63.05,179.3167,-0.84,98,100,9.81,snow
91,Ciudad Bolivar,VE,2022-04-15 18:09:49,8.1222,-63.5497,36.84,30,76,4.49,broken clouds
92,Mar Del Plata,AR,2022-04-15 18:04:52,-38.0023,-57.5575,20.01,78,0,7.15,clear sky
93,Requena,ES,2022-04-15 18:09:50,39.4883,-1.1004,18.07,53,8,2.47,clear sky
94,Caravelas,BR,2022-04-15 18:10:50,-17.7125,-39.2481,24.92,89,79,7.19,broken clouds
95,Saint George,US,2022-04-15 18:07:34,37.1041,-113.5841,21.35,17,0,0.89,clear sky
96,Whitianga,NZ,2022-04-15 18:10:51,-36.8333,175.7,15.95,86,76,1.73,broken clouds
97,Yulara,AU,2022-04-15 18:10:51,-25.2406,130.9889,23.78,32,38,3.66,scattered clouds
98,Dunhua,CN,2022-04-15 18:10:51,43.3725,128.2425,3.45,44,1,4.66,clear sky
99,Endicott,US,2022-04-15 18:09:34,42.0984,-76.0494,18.53,27,100,7.72,overcast clouds
100,Dingle,PH,2022-04-15 18:08:44,10.9995,122.6711,24.36,91,62,1.06,broken clouds
101,Northam,GB,2022-04-15 18:10:52,51.0333,-4.2167,12.01,91,89,1.1,overcast clouds
102,Souillac,MU,2022-04-15 18:10:52,-20.5167,57.5167,24.71,81,43,7.94,light rain
103,Petropavlovsk-Kamchatskiy,RU,2022-04-15 18:10:53,53.0452,158.6483,-5.68,79,16,3.79,few clouds
104,Sines,PT,2022-04-15 18:09:51,37.9562,-8.8698,19.05,73,36,2.24,scattered clouds
105,Puerto Ayora,EC,2022-04-15 18:10:53,-0.7393,-90.3518,26.98,80,75,5.06,broken clouds
106,Ucluelet,CA,2022-04-15 18:10:54,48.9329,-125.5528,8.38,78,5,1.34,clear sky
107,Hilo,US,2022-04-15 18:10:02,19.7297,-155.09,26.27,80,40,2.57,scattered clouds
108,Port Augusta,AU,2022-04-15 18:10:54,-32.5,137.7667,18.53,43,0,1.28,clear sky
109,Ust-Nera,RU,2022-04-15 18:08:46,64.5667,143.2,-14.46,98,100,1.6,overcast clouds
110,Esperance,AU,2022-04-15 18:10:55,-33.8667,121.9,16.15,75,1,5.74,clear sky
111,Necochea,AR,2022-04-15 18:10:55,-38.5473,-58.7368,19.7,45,0,5.07,clear sky
112,Merauke,ID,2022-04-15 18:10:55,-8.4667,140.3333,25.62,89,100,3.06,light rain
113,Morondava,MG,2022-04-15 18:10:56,-20.2833,44.2833,27.85,79,11,4.54,few clouds
114,Chuy,UY,2022-04-15 18:10:56,-33.6971,-53.4616,20.2,56,71,4.81,broken clouds
115,Camacha,PT,2022-04-15 18:10:57,33.0833,-16.3333,16.68,72,20,6.17,few clouds
116,Avarua,CK,2022-04-15 18:10:57,-21.2078,-159.775,23.03,100,4,0.51,clear sky
117,Moron,AR,2022-04-15 18:10:58,-34.6534,-58.6198,21.64,61,0,2.87,clear sky
118,Airai,TL,2022-04-15 18:07:35,-8.9266,125.4092,16.3,92,100,1.07,overcast clouds
119,Kudahuvadhoo,MV,2022-04-15 18:10:58,2.6708,72.8944,29.12,69,17,2.3,few clouds
120,Sayyan,YE,2022-04-15 18:10:58,15.1718,44.3244,17.66,48,2,1.38,clear sky
121,Narrabri,AU,2022-04-15 18:10:59,-30.3167,149.7833,13.62,77,58,0.49,broken clouds
122,Joshimath,IN,2022-04-15 18:10:59,30.5667,79.5667,12.24,54,91,3.15,overcast clouds
123,Zhigansk,RU,2022-04-15 18:11:00,66.7697,123.3711,-15.09,94,68,5.22,broken clouds
124,Bluff,NZ,2022-04-15 18:07:40,-46.6,168.3333,11.56,81,97,12.54,moderate rain
125,Shaoguan,CN,2022-04-15 18:11:00,24.8,113.5833,17.56,76,100,1.29,overcast clouds
126,Valparaiso,CL,2022-04-15 18:07:15,-33.0393,-71.6273,15.8,69,100,3.09,overcast clouds
127,Puerto Ayacucho,VE,2022-04-15 18:11:01,5.6639,-67.6236,27.63,73,100,2.33,overcast clouds
128,Kamenka,RU,2022-04-15 18:11:01,51.3223,42.7678,8.7,66,47,2.32,scattered clouds
129,Hithadhoo,MV,2022-04-15 18:07:36,-0.6,73.0833,28.59,66,43,1.2,scattered clouds
130,Mana,GF,2022-04-15 18:11:02,5.6592,-53.7767,28.21,69,99,4.61,overcast clouds
131,Ahipara,NZ,2022-04-15 18:11:02,-35.1667,173.1667,12.38,84,92,1.49,overcast clouds
132,Thunder Bay,CA,2022-04-15 18:11:03,48.4001,-89.3168,-0.95,73,100,1.34,overcast clouds
133,Cacule,BR,2022-04-15 18:11:03,-14.5033,-42.2222,30.66,48,80,1.54,broken clouds
134,Tautira,PF,2022-04-15 18:11:04,-17.7333,-149.15,27.18,72,13,7.32,few clouds
135,Piacabucu,BR,2022-04-15 18:11:04,-10.4056,-36.4344,30.35,64,90,7.37,overcast clouds
136,Khuzhir,RU,2022-04-15 18:12:04,53.1939,107.3397,1.37,83,100,2.77,overcast clouds
137,Frankenburg,AT,2022-04-15 18:12:05,48.0684,13.4907,13.69,47,57,2.55,broken clouds
138,Nuuk,GL,2022-04-15 18:11:07,64.1835,-51.7216,-5.66,63,75,13.86,broken clouds
139,Sungai Petani,MY,2022-04-15 18:12:05,5.647,100.4877,27.93,93,100,0.57,overcast clouds
140,Nokaneng,BW,2022-04-15 18:12:06,-19.6667,22.2667,25.79,45,79,2.69,broken clouds
141,Seminole,US,2022-04-15 18:12:06,28.7086,-81.2081,30.21,79,75,7.72,broken clouds
142,Victoria,HK,2022-04-15 18:12:06,22.2855,114.1577,23.43,78,59,8.05,broken clouds
143,Talaya,RU,2022-04-15 18:12:07,61.3833,152.75,-20.7,100,100,0.33,overcast clouds
144,Fairbanks,US,2022-04-15 18:10:48,64.8378,-147.7164,-1.1,42,0,4.63,clear sky
145,Lagoa,PT,2022-04-15 18:12:07,39.05,-27.9833,14.74,78,96,9.71,light rain
146,Severo-Kurilsk,RU,2022-04-15 18:12:08,50.6789,156.125,-3.25,79,22,3.13,few clouds
147,Jamestown,US,2022-04-15 18:12:09,42.097,-79.2353,11.7,38,100,4.63,overcast clouds
148,Port Alfred,ZA,2022-04-15 18:12:09,-33.5906,26.891,13.43,87,93,0.89,overcast clouds
149,Haines Junction,CA,2022-04-15 18:12:09,60.7522,-137.5108,-2.03,43,15,1.54,few clouds
150,Leshukonskoye,RU,2022-04-15 18:12:10,64.8989,45.7622,-7.12,94,44,1.88,scattered clouds
151,Geraldton,AU,2022-04-15 18:12:10,-28.7667,114.6,17.23,94,75,0.0,broken clouds
152,Allapalli,IN,2022-04-15 18:12:11,19.4167,80.0667,33.22,33,97,1.7,overcast clouds
153,Ayagoz,KZ,2022-04-15 18:12:11,47.9714,80.4392,7.0,27,0,3.37,clear sky
154,Port Lincoln,AU,2022-04-15 18:12:12,-34.7333,135.8667,18.79,82,0,4.45,clear sky
155,Tres Arroyos,AR,2022-04-15 18:08:30,-38.3739,-60.2798,19.97,39,0,6.38,clear sky
156,Eureka,US,2022-04-15 18:12:12,40.8021,-124.1637,10.67,65,95,2.53,overcast clouds
157,Batemans Bay,AU,2022-04-15 18:12:13,-35.7167,150.1833,16.72,82,100,1.63,overcast clouds
158,New Norfolk,AU,2022-04-15 18:12:13,-42.7826,147.0587,11.72,65,63,0.93,broken clouds
159,Batagay-Alyta,RU,2022-04-15 18:12:14,67.8006,130.4114,-22.04,99,26,2.78,scattered clouds
160,Aklavik,CA,2022-04-15 18:12:14,68.2191,-135.0107,-19.19,92,98,0.79,overcast clouds
161,Vila Velha,BR,2022-04-15 18:12:15,-20.3297,-40.2925,26.97,70,0,8.75,clear sky
162,Labuan,MY,2022-04-15 18:12:15,5.2767,115.2417,26.98,76,33,1.87,scattered clouds
163,Tasiilaq,GL,2022-04-15 18:12:15,65.6145,-37.6368,2.09,95,100,5.62,overcast clouds
164,Pingyi,CN,2022-04-15 18:12:16,35.5006,117.6308,8.29,28,100,1.63,overcast clouds
165,Elko,US,2022-04-15 18:12:16,41.0002,-115.5012,7.81,49,99,7.15,overcast clouds
166,Riviere-Au-Renard,CA,2022-04-15 18:12:17,48.9957,-64.3971,4.16,99,100,4.57,overcast clouds
167,Palmer,US,2022-04-15 18:12:17,42.1584,-72.3287,19.36,19,20,7.2,few clouds
168,Clyde River,CA,2022-04-15 18:12:18,70.4692,-68.5914,-16.87,71,0,3.09,clear sky
169,Pangody,RU,2022-04-15 18:12:18,65.85,74.4859,-4.29,93,100,2.9,overcast clouds
170,Khatanga,RU,2022-04-15 18:12:19,71.9667,102.5,-9.41,84,100,7.13,overcast clouds
171,Westport,US,2022-04-15 18:08:20,41.1415,-73.3579,21.27,24,0,6.17,clear sky
172,Lavrentiya,RU,2022-04-15 18:12:19,65.5833,-171.0,-1.89,89,99,7.5,light snow
173,Moose Jaw,CA,2022-04-15 18:12:20,50.4001,-105.5344,-7.12,76,100,4.18,overcast clouds
174,Husavik,IS,2022-04-15 18:12:20,66.0449,-17.3389,7.64,75,100,6.56,overcast clouds
175,Rocha,UY,2022-04-15 18:12:20,-34.4833,-54.3333,19.96,57,87,4.0,overcast clouds
176,Prado,BR,2022-04-15 18:12:21,-17.3411,-39.2208,25.46,91,64,7.56,moderate rain
177,Nikolskoye,RU,2022-04-15 18:09:56,59.7035,30.7861,4.84,96,99,3.75,overcast clouds
178,Beloha,MG,2022-04-15 18:12:21,-25.1667,45.05,25.97,70,99,2.11,overcast clouds
179,Dharur,IN,2022-04-15 18:12:22,18.8167,76.1167,31.52,15,85,1.05,overcast clouds
180,Mahebourg,MU,2022-04-15 18:12:22,-20.4081,57.7,24.16,94,75,4.12,broken clouds
181,Pangnirtung,CA,2022-04-15 18:09:55,66.1451,-65.7125,-14.81,83,14,0.76,few clouds
182,La Trinitaria,MX,2022-04-15 18:13:23,16.1167,-92.05,29.8,30,38,2.23,scattered clouds
183,Talnakh,RU,2022-04-15 18:13:23,69.4865,88.3972,-0.08,92,100,6.14,light snow
184,Mersing,MY,2022-04-15 18:13:24,2.4312,103.8405,25.77,88,82,1.46,broken clouds
185,East London,ZA,2022-04-15 18:13:24,-33.0153,27.9116,15.52,94,100,3.6,light rain
186,Komsomolskiy,UZ,2022-04-15 18:13:24,40.4272,71.7189,22.39,17,0,1.68,clear sky
187,Berlevag,NO,2022-04-15 18:13:25,70.8578,29.0864,0.89,98,94,9.74,snow
188,Juegang,CN,2022-04-15 18:13:25,32.3174,121.1855,12.17,68,100,4.46,overcast clouds
189,Binabalian,PH,2022-04-15 18:13:26,16.4202,119.9279,27.64,70,64,4.33,broken clouds
190,Keetmanshoop,NA,2022-04-15 18:13:26,-26.5833,18.1333,20.94,23,29,3.67,scattered clouds
191,Bonfim,BR,2022-04-15 18:13:27,3.0833,-59.95,26.38,71,100,3.95,overcast clouds
192,Flinders,AU,2022-04-15 18:13:27,-34.5833,150.8552,15.03,87,100,1.34,overcast clouds
193,San Patricio,US,2022-04-15 18:13:28,28.017,-97.5169,26.97,65,100,5.77,overcast clouds
194,Honiara,SB,2022-04-15 18:13:28,-9.4333,159.95,25.16,88,100,0.8,overcast clouds
195,Cabo San Lucas,MX,2022-04-15 18:10:06,22.8909,-109.9124,29.78,41,20,4.63,few clouds
196,Kapit,MY,2022-04-15 18:13:29,2.0167,112.9333,22.97,99,99,0.15,overcast clouds
197,Constitucion,CL,2022-04-15 18:13:29,-35.3333,-72.4167,16.3,63,55,2.41,broken clouds
198,Torbay,CA,2022-04-15 18:13:29,47.6666,-52.7314,5.71,65,40,5.14,scattered clouds
199,Tiksi,RU,2022-04-15 18:13:30,71.6872,128.8694,-21.02,100,100,2.14,overcast clouds
200,Yanaul,RU,2022-04-15 18:13:30,56.2719,54.9309,3.8,98,100,3.07,overcast clouds
201,Rapid Valley,US,2022-04-15 18:13:31,44.0625,-103.1463,-0.69,51,100,7.72,overcast clouds
202,Suez,EG,2022-04-15 18:13:31,29.9737,32.5263,18.78,50,27,6.02,scattered clouds
203,Mitsamiouli,KM,2022-04-15 18:13:32,-11.3847,43.2844,28.28,79,15,4.11,light rain
204,Sitka,US,2022-04-15 18:13:32,57.0531,-135.33,3.94,45,0,0.0,clear sky
205,Bikaner,IN,2022-04-15 18:10:51,28.0167,73.3,30.65,6,0,2.99,clear sky
206,Isfana,KG,2022-04-15 18:13:33,39.8386,69.5306,13.31,46,56,0.95,broken clouds
207,Pachperwa,IN,2022-04-15 18:13:33,27.5167,82.65,29.53,11,0,3.43,clear sky
208,Muscat,OM,2022-04-15 18:09:37,23.6139,58.5922,34.01,32,56,3.21,broken clouds
209,Caloundra,AU,2022-04-15 18:13:34,-26.8,153.1333,18.27,87,58,5.19,broken clouds
210,Mairana,BO,2022-04-15 18:13:35,-18.1167,-63.9333,19.89,52,22,2.83,few clouds
211,Mount Gambier,AU,2022-04-15 18:13:36,-37.8333,140.7667,15.95,94,100,2.57,overcast clouds
212,Urumqi,CN,2022-04-15 18:13:38,43.801,87.6005,4.53,19,0,2.0,clear sky
213,Shihezi,CN,2022-04-15 18:13:38,44.3,86.0333,8.23,14,0,2.22,clear sky
214,Chambersburg,US,2022-04-15 18:12:59,39.9376,-77.6611,21.14,26,1,5.81,clear sky
215,Prince Albert,CA,2022-04-15 18:12:20,53.2001,-105.7677,-5.04,60,100,3.19,overcast clouds
216,Kununurra,AU,2022-04-15 18:13:39,-15.7667,128.7333,24.99,94,44,0.0,scattered clouds
217,Lexington,US,2022-04-15 18:12:37,37.9887,-84.4777,21.27,22,0,8.23,clear sky
218,Bethel,US,2022-04-15 18:13:40,41.3712,-73.414,20.02,24,0,4.47,clear sky
219,Altyn-Topkan,TJ,2022-04-15 18:13:40,40.6528,69.5998,13.26,32,48,1.7,scattered clouds
220,Tuktoyaktuk,CA,2022-04-15 18:13:40,69.4541,-133.0374,-24.0,77,20,1.03,mist
221,Pouembout,NC,2022-04-15 18:13:41,-21.1333,164.9,21.86,93,90,0.88,overcast clouds
222,Lebu,CL,2022-04-15 18:13:41,-37.6167,-73.65,15.25,69,56,4.38,broken clouds
223,Norman Wells,CA,2022-04-15 18:13:42,65.282,-126.8329,-13.98,56,40,6.69,scattered clouds
224,Manokwari,ID,2022-04-15 18:13:42,-0.8667,134.0833,25.8,77,98,1.11,overcast clouds
225,Port Macquarie,AU,2022-04-15 18:12:02,-31.4333,152.9167,14.38,79,47,2.39,scattered clouds
226,Marau,BR,2022-04-15 18:13:43,-28.4492,-52.2,18.12,51,0,2.74,clear sky
