City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Lebu,CL,2022-04-15 11:06:09,-37.6167,-73.65,52.14,87,93,7.67
164,College,US,2022-04-15 11:06:09,64.8569,-147.8028,26.55,54,20,11.5
165,Henties Bay,NA,2022-04-15 11:06:09,-22.116,14.2845,63.63,77,14,12.01
166,Nome,US,2022-04-15 11:06:10,64.5011,-165.4064,39.27,61,75,27.63
167,Ancud,CL,2022-04-15 11:02:40,-41.8697,-73.8203,48.22,92,57,1.54
168,Toora-Khem,RU,2022-04-15 11:06:10,52.4675,96.11,45.39,54,10,1.23
169,Una,IN,2022-04-15 11:06:11,20.8167,71.0333,94.8,37,0,19.64
170,Ribeira Grande,PT,2022-04-15 11:06:11,38.5167,-28.7,63.0,77,40,16.11
171,Ahipara,NZ,2022-04-15 11:06:12,-35.1667,173.1667,56.71,85,40,4.92
172,Loksa,EE,2022-04-15 11:06:12,59.5764,25.7214,35.58,78,100,10.78
173,Taltal,CL,2022-04-15 11:01:46,-25.4,-70.4833,58.08,83,20,4.09
174,Kivsharivka,UA,2022-04-15 11:06:12,49.6213,37.7036,60.03,44,24,8.68
175,Lakes Entrance,AU,2022-04-15 11:06:13,-37.8811,147.981,62.98,73,100,1.9
176,Meulaboh,ID,2022-04-15 11:06:13,4.1363,96.1285,82.67,78,61,4.05
177,Dingle,PH,2022-04-15 11:06:14,10.9995,122.6711,78.89,85,100,1.59
178,Marawi,PH,2022-04-15 11:06:14,7.9986,124.2928,70.29,92,79,1.63
179,Iqaluit,CA,2022-04-15 11:06:14,63.7506,-68.5145,-7.31,76,4,11.99
180,Narsaq,GL,2022-04-15 11:06:15,60.9167,-46.05,28.62,82,99,5.79
181,Abu Samrah,SY,2022-04-15 11:07:15,35.3029,37.1841,70.86,17,66,4.54
182,Nantucket,US,2022-04-15 11:07:16,41.2835,-70.0995,48.34,88,100,11.5
183,Praia Da Vitoria,PT,2022-04-15 11:03:47,38.7333,-27.0667,61.75,90,73,17.2
184,Bambous Virieux,MU,2022-04-15 11:07:16,-20.3428,57.7575,82.65,69,40,12.66
185,Naze,JP,2022-04-15 11:07:17,28.3667,129.4833,65.43,85,81,19.86
186,Deputatskiy,RU,2022-04-15 11:07:17,69.3,139.9,-0.53,91,100,2.86
187,Clarksburg,US,2022-04-15 11:04:15,39.2807,-80.3445,45.3,65,0,4.61
188,Yabelo,ET,2022-04-15 11:07:17,4.8833,38.0833,74.7,46,97,11.52
189,Miles City,US,2022-04-15 11:02:58,46.4083,-105.8406,20.37,86,100,6.91
190,Bethel,US,2022-04-15 11:07:18,41.3712,-73.414,48.65,71,0,3.44
191,Olga,RU,2022-04-15 11:07:18,43.7444,135.2892,39.38,65,39,4.18
192,Gouyave,GD,2022-04-15 11:07:19,12.1646,-61.7296,75.97,88,40,18.41
193,Mount Gambier,AU,2022-04-15 11:07:19,-37.8333,140.7667,62.51,100,100,3.44
194,San Quintin,MX,2022-04-15 11:07:19,30.4833,-115.95,56.53,85,70,12.93
195,Leningradskiy,RU,2022-04-15 11:07:20,69.3833,178.4167,17.13,96,100,10.56
196,Peleduy,RU,2022-04-15 11:07:20,59.6289,112.7406,25.52,82,100,6.06
197,Ulaanbaatar,MN,2022-04-15 11:07:21,47.9077,106.8832,44.73,21,0,13.42
198,Tasiilaq,GL,2022-04-15 11:07:21,65.6145,-37.6368,33.96,99,100,6.46
199,Trincomalee,LK,2022-04-15 11:07:22,8.5711,81.2335,84.79,76,93,10.76
200,Pangnirtung,CA,2022-04-15 11:07:22,66.1451,-65.7125,-2.47,86,18,2.71
201,Pointe Michel,DM,2022-04-15 11:07:22,15.25,-61.3833,77.94,76,18,13.38
202,Luderitz,NA,2022-04-15 11:07:23,-26.6481,15.1594,71.98,43,34,28.01
203,Yakeshi,CN,2022-04-15 11:07:23,49.2833,120.7333,45.46,39,100,17.94
204,Mangai,CD,2022-04-15 11:07:24,-4.05,19.5333,75.97,87,100,3.56
205,Nuuk,GL,2022-04-15 11:07:24,64.1835,-51.7216,20.01,58,20,41.43
206,Cape Canaveral,US,2022-04-15 11:07:24,28.4058,-80.6048,74.98,86,0,5.75
207,Carballo,ES,2022-04-15 11:07:25,43.213,-8.691,66.76,50,0,4.72
208,Vale,GE,2022-04-15 11:07:25,41.6156,42.8722,45.93,76,95,3.8
209,Ussel,FR,2022-04-15 11:07:26,45.55,2.3167,68.2,41,0,5.3
210,Ust-Koksa,RU,2022-04-15 11:07:26,50.2696,85.6108,49.78,54,0,1.48
211,Clyde River,CA,2022-04-15 11:07:26,70.4692,-68.5914,-13.56,86,8,2.95
212,Cidreira,BR,2022-04-15 11:07:27,-30.1811,-50.2056,60.12,76,54,11.41
213,Birao,CF,2022-04-15 11:07:27,10.2849,22.7882,105.58,12,76,3.18
214,Cabedelo,BR,2022-04-15 11:07:28,-6.9811,-34.8339,83.07,73,100,5.41
215,Sabang,ID,2022-04-15 11:07:28,5.8933,95.3214,84.81,69,79,7.38
216,Aboso,GH,2022-04-15 11:07:28,5.3617,-1.9473,84.18,69,100,2.17
217,East London,ZA,2022-04-15 11:07:29,-33.0153,27.9116,63.77,74,100,21.09
218,Waipawa,NZ,2022-04-15 11:07:29,-41.4122,175.5153,45.54,87,9,6.42
219,Mareeba,AU,2022-04-15 11:07:30,-17.0,145.4333,72.32,85,87,2.71
220,Porto Santo,PT,2022-04-15 11:07:30,33.072,-16.3415,62.98,72,75,14.97
221,Unhel,IN,2022-04-15 11:07:30,23.3333,75.5667,100.76,9,0,15.28
222,Jauharabad,PK,2022-04-15 11:07:31,32.2898,72.2813,101.07,11,1,4.41
223,San Cristobal,VE,2022-04-15 11:07:31,7.7669,-72.225,68.18,75,92,2.39
224,Davila,PH,2022-04-15 11:07:32,18.4726,120.5763,84.18,78,45,23.06
225,Longyearbyen,SJ,2022-04-15 11:07:32,78.2186,15.6401,28.24,64,75,3.44
226,Asyut,EG,2022-04-15 11:07:33,27.181,31.1837,91.92,5,0,12.3
227,Coihaique,CL,2022-04-15 11:07:33,-45.5752,-72.0662,48.81,81,0,3.44
228,Benghazi,LY,2022-04-15 11:07:11,32.1167,20.0667,73.53,35,100,24.58
229,Ixtapa,MX,2022-04-15 11:08:33,20.7,-105.2,71.22,83,97,2.55
230,Borovoy,RU,2022-04-15 11:08:34,55.4333,86.0833,44.74,85,47,2.46
231,Daru,PG,2022-04-15 11:08:34,-9.0763,143.2092,81.32,84,100,10.42
232,Whitehorse,CA,2022-04-15 11:08:35,60.7161,-135.0538,21.31,48,34,5.99
233,Saldanha,ZA,2022-04-15 11:08:35,-33.0117,17.9442,63.12,57,0,27.18
234,Kozulka,UA,2022-04-15 11:08:35,50.0351,23.797,57.0,70,100,12.1
235,Smithers,CA,2022-04-15 11:04:33,54.7804,-127.1743,26.74,77,98,1.28
236,Mazamari,PE,2022-04-15 11:08:36,-11.3258,-74.5308,68.05,99,98,1.43
237,Kalmunai,LK,2022-04-15 11:08:36,7.4167,81.8167,85.93,73,53,11.39
238,Kazanskoye,RU,2022-04-15 11:08:36,55.6448,69.235,73.17,19,62,15.08
239,Havre-Saint-Pierre,CA,2022-04-15 11:08:37,50.2334,-63.5986,32.36,93,100,11.5
240,Charters Towers,AU,2022-04-15 11:08:37,-20.1,146.2667,69.4,71,11,8.19
241,Bredasdorp,ZA,2022-04-15 11:08:38,-34.5322,20.0403,61.3,41,95,14.25
242,Souillac,MU,2022-04-15 11:08:38,-20.5167,57.5167,82.78,69,40,12.66
243,Lufilufi,WS,2022-04-15 11:08:38,-13.8745,-171.5986,83.23,76,16,14.5
244,Pevek,RU,2022-04-15 11:08:39,69.7008,170.3133,11.07,87,21,3.76
245,Kodiak,US,2022-04-15 11:08:39,57.79,-152.4072,38.71,87,100,17.27
246,Conceicao Da Barra,BR,2022-04-15 11:08:40,-18.5933,-39.7322,75.69,93,94,4.34
247,Ivanteyevka,RU,2022-04-15 11:08:40,55.9711,37.9208,53.26,52,95,5.77
248,Siljan,NO,2022-04-15 11:08:40,59.2884,9.71,55.62,52,43,1.79
249,Kyabe,TD,2022-04-15 11:08:41,9.4515,18.9449,101.34,26,85,2.66
250,Puerto Ayacucho,VE,2022-04-15 11:08:41,5.6639,-67.6236,76.6,84,100,6.08
251,Guerrero Negro,MX,2022-04-15 11:08:42,27.9769,-114.0611,57.92,80,94,12.35
252,Mayo,US,2022-04-15 11:08:42,38.8876,-76.5119,54.12,79,0,1.01
253,Eyl,SO,2022-04-15 11:08:42,7.9803,49.8164,89.19,58,84,14.07
254,Abeche,TD,2022-04-15 11:08:43,13.8292,20.8324,104.09,4,74,10.6
255,Carndonagh,IE,2022-04-15 11:08:43,55.25,-7.2667,58.62,89,98,9.33
256,Nishihara,JP,2022-04-15 11:08:44,26.1842,127.7558,70.88,94,100,27.63
257,Zaoyang,CN,2022-04-15 11:08:44,32.1272,112.7542,55.72,54,100,10.07
258,Turayf,SA,2022-04-15 11:08:45,31.6725,38.6637,77.22,12,0,6.8
259,Kamaishi,JP,2022-04-15 11:08:45,39.2667,141.8833,40.35,92,100,10.36
260,Opuwo,NA,2022-04-15 11:08:45,-18.0607,13.84,83.95,30,1,4.14
261,Tiksi,RU,2022-04-15 11:08:46,71.6872,128.8694,-1.05,100,100,6.96
262,Dornach,CH,2022-04-15 11:08:46,47.4804,7.6164,69.04,57,75,5.75
263,Gizo,SB,2022-04-15 11:08:46,-8.103,156.8419,81.55,77,99,9.1
264,Thomaston,US,2022-04-15 11:04:04,32.8882,-84.3266,48.51,67,0,5.75
265,Padang,ID,2022-04-15 11:08:47,-0.9492,100.3543,86.05,77,91,2.55
266,Pangody,RU,2022-04-15 11:08:47,65.85,74.4859,30.15,82,43,16.53
267,Tabou,CI,2022-04-15 11:08:48,4.423,-7.3528,83.41,72,99,5.77
268,Edendale,ZA,2022-04-15 11:08:48,-29.6528,30.3147,75.49,64,29,9.89
269,Muana,BR,2022-04-15 11:08:48,-1.5283,-49.2167,77.18,92,100,3.51
270,Bubaque,GW,2022-04-15 11:08:49,11.2833,-15.8333,74.3,70,41,6.93
271,Maceio,BR,2022-04-15 11:07:11,-9.6658,-35.7353,81.84,78,20,8.05
272,Dwarka,IN,2022-04-15 11:08:49,22.2394,68.9678,84.63,68,1,15.26
273,Coahuayana,MX,2022-04-15 11:08:50,18.7333,-103.6833,67.8,66,100,3.42
274,Namatanai,PG,2022-04-15 11:09:50,-3.6667,152.4333,81.01,79,55,6.73
275,Comodoro Rivadavia,AR,2022-04-15 11:04:58,-45.8667,-67.5,55.26,58,0,9.22
276,Nabire,ID,2022-04-15 11:09:51,-3.3667,135.4833,78.04,89,100,1.99
277,Calvinia,ZA,2022-04-15 11:09:51,-31.4707,19.776,65.01,23,51,16.02
278,Mugur-Aksy,RU,2022-04-15 11:09:51,50.35,90.5,34.47,30,0,2.37
279,Mehamn,NO,2022-04-15 11:09:52,71.0357,27.8492,35.55,80,40,14.97
280,Santa Marta,CO,2022-04-15 11:09:52,11.2408,-74.199,81.9,71,98,5.99
281,Nouadhibou,MR,2022-04-15 11:09:52,20.931,-17.0347,65.59,76,0,11.3
282,Lucapa,AO,2022-04-15 11:09:53,-8.4192,20.7447,77.83,69,100,3.56
283,Nemuro,JP,2022-04-15 11:09:53,43.3236,145.575,33.98,91,100,12.06
284,Valleyview,CA,2022-04-15 11:05:13,55.0667,-117.2859,23.79,63,100,4.29
285,Nyurba,RU,2022-04-15 11:09:54,63.2842,118.3319,25.57,91,100,12.39
286,Bengkulu,ID,2022-04-15 11:09:54,-3.8004,102.2655,79.95,80,62,1.16
287,Da Nang,VN,2022-04-15 11:08:54,16.0678,108.2208,82.38,83,40,9.22
288,Gazli,UZ,2022-04-15 11:09:54,40.1333,63.45,92.28,10,43,3.47
289,Hervey Bay,AU,2022-04-15 11:09:55,-25.2986,152.8535,71.51,70,2,16.78
290,Beringovskiy,RU,2022-04-15 11:09:55,63.05,179.3167,32.34,98,100,19.62
291,Tazovskiy,RU,2022-04-15 11:09:56,67.4667,78.7,27.68,84,46,16.91
292,San Andres,CO,2022-04-15 11:09:56,12.5847,-81.7006,80.62,74,40,12.66
293,Lompoc,US,2022-04-15 11:09:56,34.6391,-120.4579,50.72,88,100,25.01
294,Huilong,CN,2022-04-15 11:09:57,31.8111,121.655,56.93,71,100,15.03
295,Amapa,BR,2022-04-15 11:09:57,1.0,-52.0,73.42,98,100,2.68
