City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Mwinilunga,ZM,18.27,light rain,-11.7358,24.4293,Kwakuwahi Lodge
293,Sao Filipe,CV,21.43,clear sky,14.8961,-24.4956,Hotel Xaguate
294,Ranong,TH,26.31,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
296,Muscle Shoals,US,24.17,broken clouds,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
297,Castro,BR,19.36,clear sky,-24.7911,-50.0119,CHACARA BAILLY
298,Itumbiara,BR,28.57,scattered clouds,-18.4192,-49.2153,Itumbiara Palace Hotel
303,Qui Nhon,VN,25.26,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
309,Neuquen,AR,25.78,clear sky,-38.9516,-68.0591,Hotel del Comahue
311,Bucerias,MX,25.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
315,Asyut,EG,26.47,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
316,Bairiki,KI,26.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
320,Mandera,KE,27.49,overcast clouds,3.9366,41.867,Hiren Hotel Mandera
322,Bubaque,GW,23.64,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
332,Salalah,OM,27.05,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
334,Ponta Do Sol,PT,20.95,broken clouds,32.6667,-17.1,Hotel do Campo
339,Nurota,UZ,21.16,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
340,Paita,PE,24.14,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
343,Mangrol,IN,26.78,clear sky,21.1167,70.1167,Hotel The Royal Honours
344,Saint-Pierre,RE,24.95,clear sky,-21.3393,55.4781,Lindsey Hôtel
346,Pisco,PE,22.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
347,Porto De Moz,BR,27.65,overcast clouds,-1.7483,-52.2383,Dormitório labelle
351,Benghazi,LY,24.41,broken clouds,32.1167,20.0667,Tibesti Hotel
352,Eyl,SO,27.88,broken clouds,7.9803,49.8164,Amiin Hotel
354,Port Blair,IN,26.02,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
356,Kavieng,PG,27.1,light rain,-2.5744,150.7967,Nusa Island Retreat
358,Calahorra,ES,23.95,clear sky,42.3051,-1.9652,Parador de Calahorra
364,Shache,CN,21.51,clear sky,38.4167,77.2406,Delong Hotel
366,Harper,LR,27.55,overcast clouds,4.375,-7.7169,Screensaver
367,Asfi,MA,21.01,clear sky,32.2994,-9.2372,Hôtel Abda
368,Cap Malheureux,MU,23.59,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
371,Myitkyina,MM,22.23,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
373,Saint-Philippe,RE,24.77,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
375,Inhambane,MZ,25.9,light rain,-23.865,35.3833,Oceano
376,Vanimo,PG,25.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
378,Mackay,AU,20.38,clear sky,-21.15,149.2,International Lodge Motel
381,Kabinda,CD,20.05,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
383,Namatanai,PG,26.13,light rain,-3.6667,152.4333,Seagulls Inn Namatani
385,Bac Lieu,VN,27.99,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
388,Praia Da Vitoria,PT,20.14,scattered clouds,38.7333,-27.0667,Hotel Branco I
389,The Valley,AI,27.92,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
392,Luangwa,ZM,25.26,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
398,Havelock,US,23.9,clear sky,34.8791,-76.9013,Sherwood Motel
399,Marawi,PH,19.97,broken clouds,7.9986,124.2928,Derogongan Residence
401,Jaque,PA,28.64,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
402,Grand Gaube,MU,24.22,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
403,Half Moon Bay,US,18.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
404,Luwuk,ID,25.55,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
405,Dunedin,NZ,18.22,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
407,Gondar,ET,21.2,overcast clouds,12.6,37.4667,L Shape Hotel
408,Padre Paraiso,BR,26.01,scattered clouds,-17.0742,-41.4844,Pousada Três Irmãos
413,Basco,PH,24.67,broken clouds,20.4487,121.9702,Nathaniel's Lodge
414,Rio Cuarto,AR,23.6,clear sky,-33.1307,-64.3499,Hotel Menossi
424,Jawhar,SO,27.0,broken clouds,2.7809,45.5005,hantiwadaag village part one
430,Lorengau,PG,27.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
431,Bengkulu,ID,25.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
433,Dawlatabad,AF,23.76,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
437,Banda Aceh,ID,27.21,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
438,Sona,IT,20.51,clear sky,45.4388,10.8255,Hotel Krystal
444,Campoverde,PE,22.83,light rain,-8.4753,-74.8058,Hospedaje Coral's
445,Ewa Beach,US,25.24,scattered clouds,21.3156,-158.0072,Base Lodging
447,Quelimane,MZ,27.97,few clouds,-17.8786,36.8883,Hotel Flamingo
450,Wilmington,US,23.81,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
455,Nalbari,IN,24.99,broken clouds,26.4456,91.4354,Ganesh Hotel
456,Cururupu,BR,27.6,heavy intensity rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
458,Kabompo,ZM,19.23,light rain,-13.5927,24.2008,Big Tree
460,Waldoboro,US,18.5,scattered clouds,44.0954,-69.3756,Le Vatout Bed & Breakfast
462,Barcelona,ES,22.94,clear sky,41.3888,2.159,Axel Hotel Barcelona
466,Monrovia,LR,27.87,overcast clouds,6.3005,-10.7969,Sunset Inn
469,Montorio Al Vomano,IT,18.02,broken clouds,42.5831,13.6383,Hotel Vomano
473,Ratnagiri,IN,27.8,scattered clouds,16.9833,73.3,Hotel Landmark
479,Kabanjahe,ID,18.59,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
480,Athens,GR,18.43,clear sky,37.9795,23.7162,Safestay Athens
482,Tibagi,BR,21.71,clear sky,-24.5094,-50.4136,Far View Inn
486,Faya,SA,21.06,few clouds,18.3851,42.4509,املاك خالد الشعشوع
488,Turiacu,BR,26.12,light rain,-1.6633,-45.3717,Pousada Maranata
489,Carlsbad,US,23.1,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
493,Veraval,IN,26.7,clear sky,20.9,70.3667,Lords Inn Somnath
502,Apache Junction,US,28.13,clear sky,33.4151,-111.5496,"Motel 6 Apache Junction, AZ"
